coupon_uid,household_key,CAMPAIGN,COUPON_UPC,day_issued,day_expired,day_redeemed,duration,event,classification_1,classification_2,classification_3,HOMEOWNER_DESC,classification_5,classification_4,KID_CATEGORY_DESC
1,1,29,54060060033,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
2,1,29,53000012033,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
3,1,29,50057331076,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
4,1,29,57047095176,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
5,1,29,53000013836,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
6,1,29,54850010009,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
7,1,29,54400000033,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
8,1,29,51200000033,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
9,1,29,57800000033,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
10,1,29,54138310050,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
11,1,29,54300016033,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
12,1,29,55420811176,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
13,1,29,50000540076,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
14,1,29,53377610033,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
15,1,29,57027210033,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
16,1,29,52840000051,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
17,1,29,51380041013,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
18,1,29,54300021057,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
19,1,29,51410010050,281,334,,53.0,0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown
